"subj","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd","log_delta_mean","log_delta_sd","delta_mean","delta_sd","waic"
127,1.06847120511155,1.45700908408186,0.800620726886979,1.27946723217342,2.11055618424873,1.4345425606026,0.267839670078042,1.36170404475392,2.62366536344111,2.27672771249091,NA
128,1.98121909041454,2.16101257131665,-0.391976874074491,1.16609688373916,1.87424291285869,1.51345914775478,0.247460377187749,0.867438958256747,1.97049079084426,1.99794615774303,NA
129,1.61629265997047,0.728495295929573,0.382696681811506,0.970541939847038,2.18768661120319,1.43636541223294,0.0664189323839138,0.909512495021376,1.55436428980342,1.18242041674254,NA
130,2.69136296160488,2.66904657668073,0.277729922010021,0.698243670584232,0.443391278724273,0.295377711490569,1.00135098584944,0.536501347144579,3.14414802486387,1.68512757476733,NA
131,0.381889587963584,0.202355348569958,-0.270728170325119,1.41153134231206,0.431069347091666,0.169006495769014,-0.145052321034151,1.29151772082219,1.68242585051473,1.58033390252635,NA
132,2.03819785417937,2.26752827232953,-0.629192522588323,0.689757909866627,2.72245463931405,2.75652107879443,0.808240218072763,1.40457944260113,4.16312802276711,3.03226125575375,NA
133,0.956398901425476,0.745557565091115,-0.408514201047687,1.16403750748949,1.34986032707342,0.97991705146446,-0.482311635034249,1.36175122093108,1.68742387070069,2.35718708472196,NA
134,0.629847542568306,0.556240068375101,0.181531676308978,1.23114088243705,2.08112494152828,2.39428421306645,-0.36112475195641,0.851085416280378,0.983404199130894,0.760097855860137,NA
135,0.285704686774554,0.207504093465568,-0.110291041520714,1.05111905868668,2.92584251947709,1.92204757972651,-1.14230149065586,0.676071724983534,0.396595160225441,0.244450136625667,NA
136,0.484651205283541,0.436252770390907,-0.930172388829171,0.722325285350632,1.19046909424355,1.09059798585005,-0.674316213440395,0.414556124432256,0.553558537242024,0.21516917541835,NA
137,0.529996717887628,0.130844871346613,-0.095173973144239,1.50779085118929,2.61745331563263,2.28101115449824,1.0084584258618,0.326265040742059,2.87563839677338,0.798977139196656,NA
138,0.756060943924196,0.498733363109614,-0.490182638715447,0.966785417157508,1.81284864195296,1.61130828711457,-0.256771196405239,1.55625001132544,2.06647187021706,2.31741091696428,NA
139,0.860680298440375,0.359049807287326,-0.173197060520126,1.06217084280005,2.89751748667566,2.48340093181684,-1.09192240841426,1.24430722477299,0.845720339879159,1.18095849305211,NA
140,0.470054838357582,0.210426406267575,-0.121504477554559,0.919590453614404,2.74740469269998,1.86495802595499,0.282510396908352,0.796263731290743,1.7752923197884,1.20329687055914,NA
141,0.48372801390661,0.335381780755625,-0.816083664070173,0.955610608006138,0.72376637161823,0.7231013614401,0.91682956973756,0.761942814461579,3.20279726183122,1.95985243291889,NA
142,0.971540057340405,0.924034953108839,-0.372010682572541,0.334406728159046,2.28825383703748,1.36082693722089,-0.743555517736811,0.755551197875776,0.616701730522306,0.393855368438491,NA
143,1.66344804194036,1.02536678976607,0.608762084437039,1.09278321949836,2.57424933154759,2.5062173552644,-0.628247892051919,0.240086373370224,0.547891102264741,0.116330870532894,NA
144,0.419025538076647,0.341629988503887,-0.314161371246958,1.24580065769829,2.70391482449625,2.69521374788489,1.00278334038514,1.43321314040271,4.75844616613244,2.69818353170841,NA
145,1.34973563391215,1.72693333140838,0.644971124899486,1.17569089013064,1.82018453831838,1.38020643225017,-0.103086184211625,1.01482342690795,1.64412246215608,1.93738266279602,NA
146,1.24207768189626,1.513413760365,-0.515507993729742,1.22751871290032,5.35794697147031,0.823279729705723,0.827856837068059,0.626637688092126,2.83752176910257,2.0209382654753,NA
147,1.14317603268088,1.22140765966322,-0.911981163426431,1.35801041366058,2.26235035099388,2.27445083135232,-0.0544636497301442,1.2361170966255,1.71215789604463,1.39250113552181,NA
148,1.63192664844139,2.1094714620229,0.513636485750246,0.894346599135461,2.47256254368343,2.28063885743101,-0.501465569081674,0.792267624423075,0.864211805435629,0.794731269626086,NA
149,1.72940262299125,2.10344936916858,-0.749579631581084,0.745683612133718,0.845751186263203,0.732975215271606,0.479011378461799,0.843797582353504,2.21044911282903,1.53881594508222,NA
150,2.51717592561793,1.93769126186841,0.514254483332216,0.915759988990948,1.27614202196023,0.852142404835418,-0.80650742283298,1.05582929169912,0.808820021526912,0.902161179445185,NA
151,2.68092225103755,2.3327491468728,-0.190699202111552,1.16785777584849,0.439498023788042,0.24890113355111,-0.162760959156779,1.03613725564316,1.57495292463856,1.86045064302467,NA
152,0.400333920781563,0.150936911399885,-0.428010833226504,1.21533148208579,2.3961408682643,1.67396835433576,-0.775022806733327,0.779016760123892,0.631937657071698,0.524076655108951,NA
153,1.88647850570047,2.21368330768577,0.678725823360212,0.672134560244423,2.55662111377073,2.4167702000118,-0.178352052174058,0.627733058307482,1.04286769610656,0.759254112258964,NA
154,1.52671401525108,2.07259891911602,0.163618703994445,1.08908766035271,1.04689016287806,1.15393716259998,-0.816156344007772,1.27458188575745,1.14985708662197,1.61650100664227,NA
155,1.00927938441854,1.28292573453996,-1.10061810034386,0.60089610646905,0.726141500761848,0.331751809077397,0.0375493611859006,1.11235699067665,1.97769891041594,2.25087536283725,NA
156,0.518627750329256,0.354304056064704,0.28594648619906,1.27956740513115,2.67910047030841,2.40010366175282,0.252995579747175,1.2430072909338,2.37951341299799,2.23559247948128,NA
157,2.06395420477365,1.5780523365559,-0.0362674153791833,0.497200012887483,1.09274837074583,0.820491036603029,-0.547612620046709,1.16832237563018,1.07794840367486,1.08316186416016,NA
158,0.556021635520804,0.30592187939244,0.510125869305544,0.936918614593727,1.87751993548336,1.83526714409434,0.124599274299339,1.49101292788503,2.69369780154945,2.59115279085759,NA
159,0.777960758321412,0.647763335699682,0.314348569423467,1.00714247221237,1.05340417902584,0.473034377708727,-1.02501430332179,0.473722833585695,0.402923845689584,0.199762731546461,NA
160,1.07465534694377,0.774150491963707,0.30497295096216,1.00598141087213,2.2176978412714,2.34474412294494,0.153671340215382,1.29753024818932,2.22265470531688,1.86749626853025,NA
161,2.41619034217449,2.0333478338672,-0.0653645884059491,1.25838170793542,2.04880065010487,1.4148328355572,0.80493332469064,1.1394428884246,3.47420118702698,2.29818264278555,NA
162,1.98996055211565,2.18402375399523,-0.764662769759996,0.500851610780493,1.58146992792308,1.17323353290668,0.192063655066965,0.406701752397263,1.30566241902872,0.455674157079608,NA
163,0.981364900273671,1.1226552152656,0.0561743942508017,1.29308063401681,0.502262515684845,0.185837521215132,-0.113094874993666,0.676791907250957,1.13784116178279,0.827495854156153,NA
164,1.9728535343478,1.96844928450742,0.052119477595215,0.727568179538618,1.45953737110755,1.2673009996123,0.0884271858585039,1.09364850825799,1.59560980158381,0.878330456602532,NA
165,1.24689074311296,1.16728976522797,0.0600168300347421,0.94638547203224,2.147648235146,1.7589257573877,0.0175660328872715,0.388939953957116,1.08827915247849,0.353186847558503,NA
