"subj","alpha_mean","beta_mean","gamma_mean","tau_mean","logit_alpha_mean","log_beta_mean","log_gamma_mean"
32,0.44794830746959,4760347911.02072,12272400982117.2,-0.591811289885179,-0.725367966832493,-0.947493851437166,-0.168982561402138
33,0.380074785040581,1329447.899905,463476158107.46,-0.698911041074612,-2.76641403278063,-5.3032233147665,-0.655323755737366
34,0.396563408707035,70312927.4317093,13577664708819.4,-0.404183729639181,-2.22999527976667,-4.07181934533416,-0.420051061001824
35,0.362466415845254,795801.989068737,24336121948428.2,-1.0540991707173,-3.02839468139107,-5.45245752245027,-0.535122811399835
36,0.357934133773381,27188356.568984,23685320802523.5,-0.851160429493316,-3.29602688945243,-5.45288509365936,-0.730628274661473
37,0.36913602445482,1293730.7404218,11245793564383.2,-1.03578935857662,-2.85553088982969,-5.68087401685824,-0.650519144136717
38,0.362562395770132,87608428.2182115,6923981178104.34,-1.16235223970045,-3.08455808159492,-5.02843641831508,-0.724433206235599
39,0.356802330308425,67417253.6187866,512437850387.991,-0.963332343769798,-3.14670535409342,-6.01184297355137,-0.784015115258816
40,0.366098629839156,1590627.28235171,1655325412778.73,-1.12737501268047,-2.95623799480939,-5.83799548316438,-0.684174434305989
41,0.492705292623687,104183455.060182,28863040283830.7,0.628917479491822,0.754001023109058,2.78492876021277,0.46889002213826
42,0.364841944166918,10160571.4031745,9683357564534.22,-1.02366990506631,-3.10534005264994,-5.72270316635001,-0.883918617749942
43,0.382594886327897,11380904033.0891,1196475879007.37,-0.552499561844865,-2.51242704015266,-4.48088709818152,-0.524085706334953
44,0.366279013307466,29770995.2709597,37543635155140360,-0.97077211735396,-2.98955325744292,-5.33899786372364,-0.741423318344158
45,0.391177993849546,596803508.860657,14777039902495.5,-0.726178479709225,-2.24065431360105,-4.37652096649707,-0.572314004767153
46,0.348827509789265,2272898049.98381,21259150758655.1,0.176533810218653,-2.17503530072685,-0.259980043749339,0.347255481162552
47,0.391580661918469,15690890.5758032,154793532557.342,-0.752289773914368,-2.17355001837239,-3.8649178684837,-0.442448619200953
48,0.63237414106537,302933995.715442,1463032120136.77,0.764845104562179,2.75883153857801,0.383101824353322,0.222350837550551
49,0.36093573554004,46236376.7864298,198431710958.045,0.0697392189561078,-2.16494914713964,-0.664277960283345,0.0580439484703312
50,0.411525486124864,20440658.3574966,28005251552821.3,-0.580067291041813,-1.91938389702065,-4.12671323221682,-0.641708618857007
51,0.359569469057954,77360274.7079074,56590418161246.8,-0.579369499612378,-2.35037882112183,-2.3183225113359,-0.170828158347903
52,0.367107400793186,61624009.526597,268977450803.925,-1.06222117577811,-2.99174939961707,-5.75254137767721,-0.764345343163775
53,0.771470902956443,259540457.898087,1652327349090.06,0.830229270794455,5.38471340474984,1.67173707714135,0.366185096370649
54,0.422728794859165,156621815.06545,852434499616.207,0.503342333118987,-0.898524686472025,0.790773086579904,0.226878910109583
55,0.350000777435304,130822361.228115,5314001415040.66,0.460319191653839,-2.19881540666434,-0.0105663248470711,0.321946721515347
56,0.369593101606542,1737711.54033696,315134973592853,-0.929259691089983,-2.88287943082724,-4.94912826566785,-0.788191478013804
